순위,노래제목,가수,좋아요1,좋아요2
1,넘쳐흘러,엠씨더맥스,74195,65620
2,벌써 12시,청하,68122,59547
3,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",40648,32073
4,180도,벤,116746,108171
5,신용재,하은 (라코스테남),79044,70469
6,SOLO,제니 (JENNIE),158248,149673
7,MILLIONS,WINNER,98760,90185
8,아낙네,MINO (송민호),140142,131567
9,Love Shot,EXO,119765,111190
10,너를 만나,폴킴,158097,149522
11,YES or YES,TWICE (트와이스),114808,106233
12,Tempo,EXO,167364,158789
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233167,224592
14,내 생에 아름다운,케이윌,89345,80770
15,너도 그냥 날 놓아주면 돼,윤건,37329,28754
16,아름답고도 아프구나,비투비,120091,111516
17,해야 (Sunrise),여자친구 (GFRIEND),22334,13759
18,IDOL,방탄소년단,213122,204547
19,가을 타나 봐,바이브,112171,103596
20,첫눈에,헤이즈 (Heize),49388,40813
21,흔한 이별,허각,36493,27918
22,삐삐,아이유,203611,195036
23,%%(응응),Apink (에이핑크),22935,14360
24,고백,양다일,97528,88953
25,이별하러 가는 길,임한별,70172,61597
26,"thank u, next",Ariana Grande,81239,72664
27,Way Back Home,숀 (SHAUN),249296,240721
28,봄바람,Wanna One (워너원),124997,116422
29,열애중,벤,148112,139537
30,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135919,127344
31,사계 (하루살이),엠씨더맥스,20049,11474
32,FAKE LOVE,방탄소년단,268652,260077
33,트라우마 (Trauma),EXO,66564,57989
34,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",120098,111523
35,너 없인 안 된다,비투비,150060,141485
36,Wait,EXO,67389,58814
37,봄날,방탄소년단,377339,368764
38,Gravity,EXO,95729,87154
39,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78893,70318
40,그리워하다,비투비,218769,210194
41,닿은 순간 (Ooh La La La),EXO,93118,84543
42,지나오다,닐로 (Nilo),191977,183402
43,24/7,EXO,91746,83171
44,알았다면,장덕철,20415,11840
45,I`m Fine,방탄소년단,157058,148483
46,습관 (Bad Habits),숀 (SHAUN),17094,8519
47,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202764,194189
48,DNA,방탄소년단,334727,326152
49,Sign,EXO,89992,81417
50,여기 있을게 (Smile On My Face),EXO,87003,78428
51,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20389,11814
52,너는 어땠을까,노을,37082,28507
53,사이렌 (Siren),선미,109966,101391
54,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",106561,97986
55,We all lie,하진,34894,26319
56,Damage,EXO,83558,74983
57,가끔 (With You),EXO,84755,76180
58,후폭풍 (Bad Dream),EXO,83485,74910
59,행복,오반 (OVAN),42695,34120
60,미안해,양다일,141991,133416
61,Universe,EXO,185701,177126
62,Dance The Night Away,TWICE (트와이스),138541,129966
63,시간이 들겠지 (Feat. Colde),로꼬,96394,87819
64,오아시스 (Oasis),EXO,86547,77972
65,밤편지,아이유,303737,295162
66,이별길 (GOODBYE ROAD),iKON,84230,75655
67,우리 그만하자,로이킴,121539,112964
68,가을 안부,먼데이 키즈 (Monday Kiz),126029,117454
69,헤어지는 중,펀치 (Punch),97969,89394
70,Euphoria,방탄소년단,150695,142120
71,비,폴킴,182987,174412
72,Answer : Love Myself,방탄소년단,130505,121930
73,Bohemian Rhapsody (2011 Remaster),Queen,88164,79589
74,에너제틱 (Energetic),Wanna One (워너원),286591,278016
75,Wind flower,마마무(Mamamoo),48765,40190
76,그때 헤어지면 돼,로이킴,191440,182865
77,동화 (feat. 아이유),김동률,54919,46344
78,BOOMERANG (부메랑),Wanna One (워너원),144033,135458
79,Beautiful,Wanna One (워너원),235105,226530
80,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191429,182854
81,켜줘 (Light),Wanna One (워너원),133341,124766
82,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74233,65658
83,사랑을 했다 (LOVE SCENARIO),iKON,278905,270330
84,"19금
IndiGO","저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",89358,80783
85,Anpanman,방탄소년단,148941,140366
86,꿈처럼 내린,다비치,37686,29111
87,Epiphany,방탄소년단,119470,110895
88,불꽃놀이 (Flowerbomb),Wanna One (워너원),72300,63725
89,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8575,0
90,술래,Wanna One (워너원),69450,60875
91,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81317,72742
92,그때가 좋았어,케이시 (Kassy),14285,5710
93,Trivia 轉 : Seesaw,방탄소년단,113939,105364
94,집,Wanna One (워너원),71779,63204
95,그 남자를 떠나,god,13542,4967
96,YA,이민혁 (HUTA),14402,5827
97,묻고싶다 (One Love),Wanna One (워너원),66890,58315
98,I`M OK,iKON,23459,14884
99,RBB (Really Bad Boy),Red Velvet (레드벨벳),55116,46541
100,사랑은 다 이러니,홍진영,11289,2714
